district,address,bathrooms_count,country,typology,exterior,floor,hasLift,municipality,neighborhood,newDevelopment,price,price_per_m2,propertyCode,propertyType,province,rooms_count,size_m2,status,avg_price_per_district,price_category,date
Tetuán,barrio Ventilla-Almenara,1,es,flat,true,0,true,Madrid,Ventilla-Almenara,false,369000.0,8022.0,105441547,flat,Madrid,1,46.0,good,568637.182572614,low,2024-09-17
El Bercial,El Bercial,3,es,chalet,,,,Getafe,,false,765000.0,3283.0,105442671,chalet,Madrid,4,233.0,good,499926.55555555556,high,2024-09-17
Arganzuela,"calle Juan de Vera, 13",2,es,flat,true,5,true,Madrid,Delicias,true,640000.0,7191.0,105443718,flat,Madrid,2,89.0,newdevelopment,457697.83419689117,high,2024-09-17
Moratalaz,calle de Luis de Hoyos Sainz,1,es,flat,true,4,true,Madrid,Pavones,false,340000.0,3469.0,105443803,flat,Madrid,3,98.0,good,271022.0,high,2024-09-17
Calle Pinto-San Roque,calle San Félix,1,es,flat,true,1,false,Parla,,false,170000.0,2329.0,105444973,flat,Madrid,3,73.0,good,165582.33333333334,medium,2024-09-17
Arroyo de la Vega,avenida de la Ermita s/n,2,es,flat,true,0,true,La Moraleja,,false,790000.0,4389.0,105448869,flat,Madrid,3,180.0,renew,961625.0,low,2024-09-17
Moncloa,"calle de Astún, 80",4,es,chalet,,,,Madrid,Valdemarín,true,1907000.0,5779.0,105448989,chalet,Madrid,3,330.0,newdevelopment,1540750.6917562725,high,2024-09-17
Moncloa,"calle de Astún, 80",4,es,chalet,,,,Madrid,Valdemarín,true,2167000.0,6087.0,105448990,chalet,Madrid,3,356.0,newdevelopment,1540750.6917562725,high,2024-09-17
Arganzuela,paseo de las Delicias,1,es,flat,true,1,true,Madrid,Delicias,false,265000.0,5196.0,105451132,flat,Madrid,2,51.0,renew,457697.83419689117,low,2024-09-17
Zona Monte el Pilar,ronda de las Sirenas,4,es,chalet,,,,Majadahonda,,false,1400000.0,3544.0,105451672,chalet,Madrid,6,395.0,good,1290047.0588235294,medium,2024-09-17
Centro,barrio Sol,3,es,flat,true,4,true,Madrid,Sol,false,990000.0,5351.0,105451961,flat,Madrid,4,185.0,renew,769398.6464032421,high,2024-09-17
Latina,paseo Perales,1,es,flat,true,1,false,Madrid,Puerta del Ángel,false,270000.0,3068.0,105452337,flat,Madrid,3,88.0,good,292681.8390804598,medium,2024-09-17
Chamberí,calle de Bretón de los Herreros,2,es,flat,false,3,true,Madrid,Nuevos Ministerios-Ríos Rosas,false,900000.0,6977.0,105452919,flat,Madrid,4,129.0,good,1240040.1756756757,low,2024-09-17
Villaverde,calle Navegación,2,es,chalet,,,,Madrid,Villaverde Alto,false,315000.0,1981.0,105453632,chalet,Madrid,3,159.0,good,198885.3076923077,high,2024-09-17
El Soto de la Moraleja,El Soto de la Moraleja,4,es,chalet,,,,La Moraleja,,false,1249000.0,6245.0,105454966,chalet,Madrid,3,200.0,good,1483132.3529411764,low,2024-09-17
Sur,"calle Sagitario, 9011",2,es,chalet,,,,Móstoles,,true,504000.0,3574.0,105456039,chalet,Madrid,4,141.0,newdevelopment,456946.75,high,2024-09-17
Barrio de Salamanca,calle del Duque de Sesto,2,es,flat,true,1,true,Madrid,Goya,false,1350000.0,10150.0,105457544,flat,Madrid,2,133.0,good,1569158.038243626,low,2024-09-17
Zona norte,barrio Zona norte,2,es,flat,true,2,true,Pozuelo de Alarcón,Zona norte,false,895000.0,4918.0,105459478,flat,Madrid,3,182.0,good,1057920.111111111,low,2024-09-17
San Nicasio - Campo de Tiro - Solagua,"Urano, 2",2,es,flat,true,3,true,Leganés,Poza del Agua,true,425100.0,3513.0,105459836,flat,Madrid,3,121.0,newdevelopment,360424.4,high,2024-09-17
,"calle Igualdad, 1 A",2,es,flat,true,0,true,Humanes de Madrid,,true,232400.0,1499.0,105461662,flat,Madrid,2,155.0,newdevelopment,,medium,2024-09-17
Usera,"Felipe Díaz, 8",1,es,flat,true,3,true,Madrid,Almendrales,true,339000.0,3809.0,105462623,flat,Madrid,2,89.0,newdevelopment,260476.03773584907,high,2024-09-17
Centro,avenida Olimpica,2,es,flat,true,0,false,Móstoles,,false,216300.0,4241.0,105462944,flat,Madrid,3,51.0,good,769398.6464032421,low,2024-09-17
Zona Avenida Europa,"avenida De Europa, 19",2,es,flat,true,1,true,Pozuelo de Alarcón,Zona Avenida Europa,true,759000.0,7028.0,105464759,flat,Madrid,2,108.0,newdevelopment,1039053.3333333334,low,2024-09-17
Barrio de Salamanca,calle Granjilla,1,es,flat,true,0,false,Madrid,Guindalera,false,240000.0,4364.0,105467427,flat,Madrid,2,55.0,renew,1569158.038243626,low,2024-09-17
Barrio de Salamanca,barrio Goya,2,es,flat,true,0,false,Madrid,Goya,false,700000.0,7778.0,105468170,flat,Madrid,2,90.0,good,1569158.038243626,low,2024-09-17
Chamartín,calle de Clara del Rey,2,es,flat,true,4,true,Madrid,Prosperidad,false,575000.0,6053.0,105468989,flat,Madrid,3,95.0,good,1658541.416,low,2024-09-17
Barrio de Salamanca,calle de Almería,3,es,flat,true,1,true,Madrid,Fuente del Berro,false,660000.0,5077.0,105469613,flat,Madrid,5,130.0,good,1569158.038243626,low,2024-09-17
Usera,calle de Ramón Luján,1,es,flat,false,3,false,Madrid,Almendrales,false,89000.0,4944.0,105469915,studio,Madrid,0,18.0,good,260476.03773584907,low,2024-09-17
Carabanchel,barrio Pau de Carabanchel,2,es,flat,true,5,true,Madrid,Pau de Carabanchel,false,415000.0,4150.0,105470156,penthouse,Madrid,3,100.0,good,277698.3312883436,high,2024-09-17
La Avanzada - La Cueva,calle de Callao,1,es,flat,true,3,true,Fuenlabrada,,false,160000.0,2000.0,105470535,flat,Madrid,3,80.0,good,250996.0,low,2024-09-17
San Blas,barrio Salvador,1,es,flat,true,0,true,Madrid,Salvador,false,334000.0,3009.0,105471263,flat,Madrid,4,111.0,renew,493332.02898550726,low,2024-09-17
La Moraleja urbanización,paseo de la Marquesa Viuda de Aldama,6,es,chalet,,,,La Moraleja,,false,2700000.0,4279.0,105471908,chalet,Madrid,7,631.0,renew,3082447.8260869565,low,2024-09-17
Rivas Futura,avenida Pablo Iglesias,2,es,flat,true,4,true,Rivas-Vaciamadrid,,false,445000.0,4541.0,105472281,flat,Madrid,3,98.0,good,427253.76923076925,medium,2024-09-17
Zona Prado de Somosaguas - La Finca,"avenida de Luis García Cereceda, 7",2,es,flat,true,3,true,Pozuelo de Alarcón,La Finca,false,1090000.0,9237.0,105473438,penthouse,Madrid,1,118.0,good,2418552.6315789474,low,2024-09-17
Chamartín,barrio El Viso,3,es,flat,true,6,true,Madrid,El Viso,false,1495000.0,8692.0,105473919,flat,Madrid,3,172.0,good,1658541.416,medium,2024-09-17
Chamartín,barrio Prosperidad,3,es,flat,true,3,true,Madrid,Prosperidad,false,960000.0,5134.0,105474299,flat,Madrid,5,187.0,renew,1658541.416,low,2024-09-17
Latina,calle de los Yébenes,2,es,flat,true,1,true,Madrid,Aluche,false,440000.0,3607.0,105474316,flat,Madrid,4,122.0,good,292681.8390804598,high,2024-09-17
Casco Antiguo,Casco Antiguo,2,es,flat,true,2,true,Majadahonda,,false,359999.0,3130.0,105475809,flat,Madrid,3,115.0,good,368897.8333333333,medium,2024-09-17
Centro,calle San Sebastián,3,es,chalet,,,,Villaviciosa de Odón,,false,469900.0,2326.0,105478134,chalet,Madrid,4,202.0,good,769398.6464032421,low,2024-09-17
Chamberí,"calle de Santa Engracia, 119",3,es,flat,true,1,true,Madrid,Nuevos Ministerios-Ríos Rosas,false,1500000.0,9804.0,105483806,flat,Madrid,3,153.0,good,1240040.1756756757,high,2024-09-17
Tetuán,calle de San Felipe,1,es,flat,true,1,true,Madrid,Cuzco-Castillejos,false,263350.0,5725.0,105483908,flat,Madrid,1,46.0,good,568637.182572614,low,2024-09-17
Villaverde,"calle José María Lozano Sainz, 25",2,es,flat,true,3,true,Madrid,Los Ángeles,true,301000.0,2761.0,105485005,flat,Madrid,3,109.0,newdevelopment,198885.3076923077,high,2024-09-17
Chamartín,barrio Castilla,2,es,flat,true,4,true,Madrid,Castilla,false,870000.0,6127.0,105485154,flat,Madrid,3,142.0,good,1658541.416,low,2024-09-17
Villaverde,"calle José María Lozano Sainz, 25",2,es,flat,true,3,true,Madrid,Los Ángeles,true,249000.0,2830.0,105485183,flat,Madrid,2,88.0,newdevelopment,198885.3076923077,high,2024-09-17
Centro Urbano,"calle de San Onofre, 43",1,es,flat,true,1,false,San Sebastián de los Reyes,,false,284000.0,2812.0,105487098,flat,Madrid,3,101.0,good,261378.26086956522,medium,2024-09-17
Hortaleza,calle de la Princesa de Éboli,1,es,flat,true,1,true,Madrid,Sanchinarro,false,385000.0,8021.0,105489439,flat,Madrid,1,48.0,good,1239664.2406015038,low,2024-09-17
Arganzuela,barrio Imperial,2,es,flat,true,3,true,Madrid,Imperial,false,599000.0,4160.0,105489623,flat,Madrid,5,144.0,good,457697.83419689117,high,2024-09-17
Carabanchel,avenida de Nuestra Señora de Fátima,1,es,flat,true,4,false,Madrid,Vista Alegre,false,165000.0,2705.0,105490898,flat,Madrid,2,61.0,good,277698.3312883436,low,2024-09-17
Barrio de Salamanca,calle del General Díaz Porlier,3,es,flat,true,1,true,Madrid,Goya,false,1150000.0,11500.0,105491061,flat,Madrid,2,100.0,good,1569158.038243626,low,2024-09-17
Centro,barrio Chueca-Justicia,1,es,flat,true,3,false,Madrid,Chueca-Justicia,false,475000.0,6333.0,105491160,flat,Madrid,1,75.0,good,769398.6464032421,low,2024-09-17
Chamberí,calle de Fernando el Santo,4,es,flat,true,1,true,Madrid,Almagro,false,2650000.0,10352.0,105491389,flat,Madrid,5,256.0,good,1240040.1756756757,high,2024-09-17
Usera,calle Lanjarón,2,es,flat,true,0,false,Madrid,12 de Octubre-Orcasur,false,280000.0,2137.0,105492091,flat,Madrid,5,131.0,good,260476.03773584907,medium,2024-09-17
Chamartín,paseo de La Habana,2,es,flat,true,1,true,Madrid,El Viso,false,899900.0,8570.0,105492544,flat,Madrid,2,105.0,good,1658541.416,low,2024-09-17
