district,address,bathrooms_count,country,typology,exterior,floor,hasLift,municipality,neighborhood,newDevelopment,price,price_per_m2,propertyCode,propertyType,province,rooms_count,size_m2,status,avg_price_per_district,price_category,date
Somosaguas,calle Talavera,5,es,chalet,,,,Pozuelo de Alarcón,Somosaguas,false,2190000.0,3763.0,100017563,chalet,Madrid,6,582.0,good,1852000.0,high,2024-09-17
Los Molinos,Lanzarote del lago c/v Retablo de las maravillas s/n,3,es,chalet,,,,Getafe,,true,595000.0,2587.0,100049682,chalet,Madrid,3,230.0,newdevelopment,529807.6923076923,high,2024-09-17
Los Molinos,Lanzarote del lago c/v Retablo de las maravillas s/n,3,es,chalet,,,,Getafe,,true,609000.0,2591.0,100049715,chalet,Madrid,3,235.0,newdevelopment,529807.6923076923,high,2024-09-17
Chamartín,calle de Serrano,3,es,flat,true,3,true,Madrid,Bernabéu-Hispanoamérica,false,1050000.0,4200.0,100082444,flat,Madrid,4,250.0,renew,1658541.416,low,2024-09-17
Zona Pueblo,plaza de la Coronación,2,es,chalet,,,,Pozuelo de Alarcón,Zona Pueblo,false,300000.0,2970.0,100096825,chalet,Madrid,1,101.0,good,1355664.450980392,low,2024-09-17
Chamartín,calle de Serrano,3,es,flat,true,0,true,Madrid,Bernabéu-Hispanoamérica,false,980000.0,3952.0,100106289,flat,Madrid,5,248.0,renew,1658541.416,low,2024-09-17
Rozas Centro,Navas de Marques,2,es,flat,true,0,true,Las Rozas de Madrid,Casco Antiguo,false,395000.0,1955.0,100121358,flat,Madrid,3,202.0,good,405425.53125,medium,2024-09-17
Tetuán,paseo de la Castellana,3,es,flat,true,1,true,Madrid,Cuzco-Castillejos,false,1449000.0,7790.0,100138201,flat,Madrid,3,186.0,good,568637.182572614,high,2024-09-17
Vicálvaro,"Cerro del Campo, 31",2,es,flat,true,0,true,Madrid,El Cañaveral,true,360000.0,3830.0,100138600,flat,Madrid,3,94.0,newdevelopment,376080.66346153844,medium,2024-09-17
Retiro,barrio Niño Jesús,2,es,flat,true,0,true,Madrid,Niño Jesús,false,1150000.0,5779.0,100141387,flat,Madrid,3,199.0,good,1033324.8743718592,high,2024-09-17
Encinar de los Reyes,SAN ENRIQUE DE OSSO,5,es,chalet,,,,La Moraleja,,false,1860000.0,5636.0,100171625,chalet,Madrid,6,330.0,good,1413482.142857143,high,2024-09-17
Cortijo Sur,"calle Av. Armada Española, 13",4,es,chalet,,,,Boadilla del Monte,,false,1400000.0,3097.0,100233420,chalet,Madrid,5,452.0,good,1072826.7857142857,high,2024-09-17
Chamberí,barrio Trafalgar,2,es,flat,true,2,true,Madrid,Trafalgar,false,828000.0,6000.0,100265984,flat,Madrid,4,138.0,renew,1240040.1756756757,low,2024-09-17
Chamartín,"calle de Colombia, 52",1,es,flat,true,0,true,Madrid,Bernabéu-Hispanoamérica,false,366000.0,2490.0,100267146,flat,Madrid,1,147.0,good,1658541.416,low,2024-09-17
Barrio de Salamanca,barrio Goya,3,es,flat,true,1,true,Madrid,Goya,false,789000.0,9282.0,100268678,flat,Madrid,3,85.0,good,1569158.038243626,low,2024-09-17
Centro,calle de Velarde,1,es,flat,false,3,true,Madrid,Malasaña-Universidad,false,329000.0,4165.0,100308924,flat,Madrid,3,79.0,renew,769398.6464032421,low,2024-09-17
Chamartín,barrio El Viso,3,es,flat,true,,true,Madrid,El Viso,false,2300000.0,9127.0,100313613,penthouse,Madrid,1,252.0,good,1658541.416,high,2024-09-17
Tetuán,calle de Tablada,1,es,flat,true,0,false,Madrid,Berruguete,false,239000.0,4051.0,100315919,flat,Madrid,2,59.0,good,568637.182572614,low,2024-09-17
Centro,barrio Palacio,3,es,flat,true,7,true,Madrid,Palacio,false,1175000.0,6792.0,100335644,penthouse,Madrid,4,173.0,good,769398.6464032421,high,2024-09-17
Los Satélites - Roza Martín,"carretera de Boadilla del Monte, 118",2,es,flat,true,2,true,Majadahonda,,true,633000.0,5861.0,100358607,flat,Madrid,2,108.0,,1273076.0,low,2024-09-17
Centro,barrio Sol,1,es,flat,false,0,false,Madrid,Sol,false,400000.0,7692.0,100363020,flat,Madrid,2,52.0,good,769398.6464032421,low,2024-09-17
La Moraleja urbanización,"calle del Camino Ancho, 21",8,es,chalet,,,,La Moraleja,,false,6890000.0,5438.0,100376650,chalet,Madrid,6,1267.0,good,3082447.8260869565,high,2024-09-17
Arganzuela,calle de Palos de la Frontera,1,es,flat,true,2,true,Madrid,Palos de la Frontera,false,360000.0,5538.0,100381130,flat,Madrid,1,65.0,good,457697.83419689117,low,2024-09-17
Barrio de Salamanca,barrio Recoletos,4,es,flat,false,3,true,Madrid,Recoletos,false,2290000.0,8980.0,100440250,flat,Madrid,3,255.0,good,1569158.038243626,high,2024-09-17
Zona Prado de Somosaguas - La Finca,"paseo de los Lagos, 1",7,es,chalet,,,,Pozuelo de Alarcón,La Finca,false,8000000.0,9412.0,100457243,chalet,Madrid,8,850.0,good,2418552.6315789474,high,2024-09-17
Moncloa,barrio Aravaca,3,es,flat,true,2,true,Madrid,Aravaca,false,1335000.0,4588.0,100458501,flat,Madrid,3,291.0,good,1540750.6917562725,low,2024-09-17
Vicálvaro,calle Enrique Urquijo esquina Calle Bobby Delgané s/n,3,es,chalet,,,,Madrid,El Cañaveral,true,430470.0,1922.0,100459073,chalet,Madrid,3,224.0,newdevelopment,376080.66346153844,high,2024-09-17
