district,address,bathrooms_count,country,typology,exterior,floor,hasLift,municipality,neighborhood,newDevelopment,price,price_per_m2,propertyCode,propertyType,province,rooms_count,size_m2,status,avg_price_per_district,price_category,date
Vicálvaro,calle Enrique Urquijo esquina Calle Bobby Delgané s/n,3,es,chalet,,,,Madrid,El Cañaveral,true,430470.0,1922.0,100459139,chalet,Madrid,3,224.0,newdevelopment,376080.66346153844,high,2024-09-17
Vicálvaro,calle Enrique Urquijo esquina Calle Bobby Delgané s/n,3,es,chalet,,,,Madrid,El Cañaveral,true,430470.0,1922.0,100459158,chalet,Madrid,4,224.0,newdevelopment,376080.66346153844,high,2024-09-17
Barrio de Salamanca,calle de Jorge Juan,4,es,flat,false,1,false,Madrid,Recoletos,false,1200000.0,9023.0,100478490,flat,Madrid,3,133.0,good,1569158.038243626,low,2024-09-17
Chamartín,barrio El Viso,4,es,chalet,,,,Madrid,El Viso,false,3200000.0,7619.0,100491764,chalet,Madrid,7,420.0,renew,1658541.416,high,2024-09-17
Golf - El Carralero,"calle del Doctor Mariano Alcaraz, 7",2,es,flat,true,2,true,Majadahonda,,false,435000.0,3085.0,100501240,flat,Madrid,3,141.0,renew,728655.5555555555,low,2024-09-17
Hortaleza,barrio Canillas,1,es,flat,true,3,true,Madrid,Canillas,false,290000.0,5000.0,100506826,flat,Madrid,1,58.0,good,1239664.2406015038,low,2024-09-17
Chamartín,barrio El Viso,5,es,flat,true,2,true,Madrid,El Viso,false,3800000.0,9048.0,100518388,flat,Madrid,4,420.0,good,1658541.416,high,2024-09-17
Ciudad Lineal,"calle arturo soria, 261",1,es,flat,true,0,true,Madrid,Costillares,true,468000.0,6882.0,100533243,flat,Madrid,1,68.0,newdevelopment,584258.3493449781,low,2024-09-17
Tetuán,barrio Cuzco-Castillejos,3,es,flat,true,3,true,Madrid,Cuzco-Castillejos,false,1640000.0,5125.0,100533880,flat,Madrid,4,320.0,good,568637.182572614,high,2024-09-17
Chamberí,barrio Gaztambide,6,es,flat,true,4,true,Madrid,Gaztambide,false,1450000.0,5967.0,100535842,flat,Madrid,5,243.0,good,1240040.1756756757,high,2024-09-17
Barrio de Salamanca,barrio Goya,3,es,flat,true,3,true,Madrid,Goya,false,2995000.0,11791.0,100583629,flat,Madrid,3,254.0,good,1569158.038243626,high,2024-09-17
Ciudad Lineal,calle caleruega,2,es,flat,true,7,true,Madrid,Costillares,true,920000.0,7480.0,100583852,penthouse,Madrid,2,123.0,newdevelopment,584258.3493449781,high,2024-09-17
Centro,calle del Arenal,2,es,flat,true,5,true,Madrid,Sol,false,750000.0,8523.0,100593466,duplex,Madrid,1,88.0,good,769398.6464032421,medium,2024-09-17
Arganzuela,calle de Embajadores,2,es,flat,true,2,true,Madrid,Delicias,false,450000.0,4091.0,100608163,flat,Madrid,4,110.0,good,457697.83419689117,medium,2024-09-17
Puente de Vallecas,calle Castalia de Vallecas,2,es,flat,true,1,true,Madrid,Numancia,false,217000.0,2411.0,100615027,flat,Madrid,3,90.0,renew,213998.1403508772,medium,2024-09-17
Centro,calle del Gobernador,2,es,flat,false,1,false,Madrid,Huertas-Cortes,false,420000.0,7000.0,100617734,flat,Madrid,2,60.0,good,769398.6464032421,low,2024-09-17
Barrio de Salamanca,calle del General Pardiñas,2,es,flat,true,3,true,Madrid,Lista,false,850000.0,8095.0,100624430,flat,Madrid,3,105.0,good,1569158.038243626,low,2024-09-17
Moncloa,barrio El Plantío,5,es,chalet,,,,Madrid,El Plantío,false,2950000.0,4214.0,100641109,chalet,Madrid,6,700.0,good,1540750.6917562725,high,2024-09-17
Barrio de Salamanca,avenida de Felipe II,1,es,flat,true,3,false,Madrid,Goya,false,385000.0,7130.0,100644124,flat,Madrid,1,54.0,good,1569158.038243626,low,2024-09-17
Hortaleza,Margarita Xirgú y Elena Fortún s/n s/n,3,es,chalet,,,,Madrid,Valdebebas - Valdefuentes,true,1290000.0,4243.0,100644787,chalet,Madrid,4,304.0,newdevelopment,1239664.2406015038,medium,2024-09-17
Chamartín,plaza de Valparaíso,3,es,flat,true,4,true,Madrid,Bernabéu-Hispanoamérica,false,965000.0,6655.0,100645460,flat,Madrid,3,145.0,renew,1658541.416,low,2024-09-17
Chamartín,calle de Trueba y Fernández,1,es,flat,true,1,true,Madrid,Bernabéu-Hispanoamérica,false,470000.0,4393.0,100646241,flat,Madrid,2,107.0,renew,1658541.416,low,2024-09-17
Moncloa,"calle Boyero, 3",3,es,flat,true,2,true,Madrid,Aravaca,true,657800.0,5926.0,100718291,duplex,Madrid,3,111.0,newdevelopment,1540750.6917562725,low,2024-09-17
Chamberí,barrio Almagro,5,es,flat,true,3,true,Madrid,Almagro,false,2690000.0,9782.0,100720629,flat,Madrid,5,275.0,good,1240040.1756756757,high,2024-09-17
Moncloa,barrio Aravaca,7,es,chalet,,,,Madrid,Aravaca,false,3950000.0,5448.0,100773361,chalet,Madrid,8,725.0,good,1540750.6917562725,high,2024-09-17
Fuencarral,barrio Fuentelarreina,8,es,chalet,,,,Madrid,Fuentelarreina,false,3000000.0,3405.0,100786368,chalet,Madrid,5,881.0,good,1052016.2767857143,high,2024-09-17
Centro,"Santa María, 34",1,es,flat,false,4,false,Madrid,Huertas-Cortes,false,180000.0,7200.0,100787473,penthouse,Madrid,1,25.0,good,769398.6464032421,low,2024-09-17
Barrio de Salamanca,calle de Hermosilla,1,es,flat,true,1,true,Madrid,Goya,false,545000.0,7786.0,100804251,flat,Madrid,2,70.0,good,1569158.038243626,low,2024-09-17
La Moraleja urbanización,HOYARRASA,6,es,chalet,,,,La Moraleja,,false,3380000.0,5633.0,100811612,chalet,Madrid,6,600.0,good,3082447.8260869565,medium,2024-09-17
El Bosque,El Bosque,4,es,chalet,,,,Villaviciosa de Odón,,false,929800.0,2583.0,100835081,chalet,Madrid,6,360.0,good,877710.8823529412,medium,2024-09-17
Chamartín,barrio Bernabéu-Hispanoamérica,3,es,flat,true,4,true,Madrid,Bernabéu-Hispanoamérica,false,2100000.0,5357.0,100843480,flat,Madrid,5,392.0,good,1658541.416,high,2024-09-17
Urb. este - Montepríncipe,Urb. este - Montepríncipe,8,es,chalet,,,,Boadilla del Monte,,false,1790000.0,2754.0,100848156,chalet,Madrid,7,650.0,good,1738636.3636363635,medium,2024-09-17
Somosaguas,barrio Somosaguas,5,es,chalet,,,,Pozuelo de Alarcón,Somosaguas,false,2190000.0,3763.0,100881099,chalet,Madrid,6,582.0,good,1852000.0,high,2024-09-17
Zona Estación,la escorzonera s/n,6,es,chalet,,,,Pozuelo de Alarcón,Zona Estación,false,6000000.0,6000.0,100891612,chalet,Madrid,7,1000.0,good,1193608.04,high,2024-09-17
Chamartín,barrio El Viso,5,es,flat,true,3,true,Madrid,El Viso,false,2300000.0,8679.0,100891794,flat,Madrid,5,265.0,good,1658541.416,high,2024-09-17
Latina,calle Enrique Granados,5,es,chalet,,,,Madrid,Puerta del Ángel,false,1300000.0,2181.0,100892582,chalet,Madrid,6,596.0,good,292681.8390804598,high,2024-09-17
Ciudad Lineal,calle de Mariano Díaz Alonso,2,es,chalet,,,,Madrid,Concepción,false,575000.0,5750.0,100895303,chalet,Madrid,3,100.0,good,584258.3493449781,medium,2024-09-17
Barrio de Salamanca,"calle Naciones, 12",4,es,flat,true,2,true,Madrid,Goya,false,1300000.0,8966.0,100915363,flat,Madrid,3,145.0,good,1569158.038243626,low,2024-09-17
Puente de Vallecas,calle de Rafael Fernández Hijicos,2,es,flat,true,6,true,Madrid,Palomeras sureste,false,304000.0,2413.0,100935499,flat,Madrid,2,126.0,good,213998.1403508772,high,2024-09-17
Chamberí,paseo de San Francisco de Sales,2,es,flat,,9,true,Madrid,Vallehermoso,true,1030000.0,7630.0,100944834,flat,Madrid,2,135.0,newdevelopment,1240040.1756756757,low,2024-09-17
Rivas Urbanizaciones,avenida los Almendros s/n,7,es,chalet,,,,Rivas-Vaciamadrid,,false,1390000.0,2119.0,100954974,chalet,Madrid,6,656.0,good,721150.64,high,2024-09-17
La Moraleja urbanización,Hoyarrasa,6,es,chalet,,,,La Moraleja,,false,3380000.0,5633.0,100959259,chalet,Madrid,6,600.0,good,3082447.8260869565,medium,2024-09-17
Casco Antiguo,avenida España s/n,3,es,flat,true,3,true,Majadahonda,,false,950000.0,5588.0,100978821,duplex,Madrid,4,170.0,good,368897.8333333333,high,2024-09-17
Urbanizaciones,SALIENTE s/n,5,es,chalet,,,,Pozuelo de Alarcón,Montealina,false,1597500.0,3550.0,100983049,chalet,Madrid,5,450.0,good,2186191.1764705884,low,2024-09-17
Las Lomas,Las Lomas,6,es,chalet,,,,Boadilla del Monte,,false,1650000.0,2200.0,100984192,chalet,Madrid,6,750.0,good,2252090.909090909,low,2024-09-17
Centro,barrio Palacio,1,es,flat,true,0,false,Madrid,Palacio,false,495000.0,4714.0,101022053,flat,Madrid,2,105.0,good,769398.6464032421,low,2024-09-17
,"GUSTAVO TORNER, 6",8,es,chalet,,,,Mejorada del Campo,,false,1200000.0,2697.0,101068871,chalet,Madrid,7,445.0,good,,medium,2024-09-17
Moncloa,barrio Argüelles,1,es,flat,true,3,true,Madrid,Argüelles,false,380000.0,7600.0,101070116,flat,Madrid,1,50.0,good,1540750.6917562725,low,2024-09-17
Chamberí,calle de Rafael Calvo,5,es,flat,true,3,true,Madrid,Almagro,false,2690000.0,9963.0,101071599,flat,Madrid,5,270.0,good,1240040.1756756757,high,2024-09-17
El Bosque,calle Alagón,3,es,chalet,,,,Villaviciosa de Odón,,false,760000.0,2082.0,101082786,chalet,Madrid,7,365.0,good,877710.8823529412,low,2024-09-17
Moncloa,calle Pleyades s/n,6,es,chalet,,,,Madrid,Aravaca,true,4500000.0,8272.0,101093521,chalet,Madrid,5,544.0,newdevelopment,1540750.6917562725,high,2024-09-17
Moncloa,calle Pleyades s/n,6,es,chalet,,,,Madrid,Aravaca,true,4500000.0,8257.0,101093546,chalet,Madrid,5,545.0,newdevelopment,1540750.6917562725,high,2024-09-17
Moncloa,calle Pleyades s/n,6,es,chalet,,,,Madrid,Aravaca,true,4500000.0,8772.0,101093556,chalet,Madrid,5,513.0,newdevelopment,1540750.6917562725,high,2024-09-17
Zona Estación,calle Modesta Utrilla,3,es,chalet,,,,Pozuelo de Alarcón,Zona Estación,false,570000.0,3081.0,101098535,chalet,Madrid,5,185.0,renew,1193608.04,low,2024-09-17
Tetuán,"paseo de la Dirección, 161",2,es,flat,true,2,true,Madrid,Valdeacederas,false,655000.0,4816.0,101106841,flat,Madrid,3,136.0,good,568637.182572614,high,2024-09-17
Tetuán,"paseo de la Dirección, 161",2,es,flat,true,3,true,Madrid,Valdeacederas,false,658000.0,4838.0,101107972,flat,Madrid,3,136.0,good,568637.182572614,high,2024-09-17
Barrio de Salamanca,calle de Cartagena,6,es,flat,true,0,true,Madrid,Guindalera,false,1100000.0,2736.0,101108678,flat,Madrid,5,402.0,good,1569158.038243626,low,2024-09-17
Retiro,barrio Jerónimos,1,es,flat,true,3,true,Madrid,Jerónimos,false,759000.0,13800.0,101126503,flat,Madrid,1,55.0,good,1033324.8743718592,low,2024-09-17
La Fortuna,calle de San Alfonso,3,es,flat,true,3,true,Leganés,La Fortuna,false,273000.0,1696.0,101132934,duplex,Madrid,4,161.0,good,286150.0,medium,2024-09-17
Moncloa,PARADORES,7,es,chalet,,,,Madrid,El Plantío,false,3100000.0,2067.0,101144968,chalet,Madrid,6,1500.0,good,1540750.6917562725,high,2024-09-17
Arganzuela,paseo de la Virgen del Puerto,2,es,flat,true,7,true,Madrid,Imperial,false,230000.0,2323.0,101168837,flat,Madrid,3,99.0,good,457697.83419689117,low,2024-09-17
Zona Pueblo,barrio Zona Pueblo,3,es,chalet,,,,Pozuelo de Alarcón,Zona Pueblo,false,1000000.0,6993.0,101179670,chalet,Madrid,4,143.0,good,1355664.450980392,low,2024-09-17
Barrio de Salamanca,barrio Castellana,4,es,flat,true,3,true,Madrid,Castellana,false,1275000.0,10200.0,101183612,flat,Madrid,3,125.0,good,1569158.038243626,low,2024-09-17
Centro,calle Mayor,2,es,flat,true,1,true,Madrid,Sol,false,745000.0,5644.0,101184519,flat,Madrid,3,132.0,good,769398.6464032421,medium,2024-09-17
Barrio de Salamanca,barrio Recoletos,4,es,flat,true,3,true,Madrid,Recoletos,false,2100000.0,10769.0,101193360,flat,Madrid,3,195.0,good,1569158.038243626,high,2024-09-17
Centro,barrio Malasaña-Universidad,2,es,flat,true,8,true,Madrid,Malasaña-Universidad,false,1420000.0,13271.0,101197036,flat,Madrid,2,107.0,good,769398.6464032421,high,2024-09-17
Hortaleza,avenida de los Madroños,5,es,flat,true,3,true,Madrid,Conde Orgaz-Piovera,false,1875000.0,5419.0,101212706,flat,Madrid,4,346.0,good,1239664.2406015038,high,2024-09-17
Moncloa,barrio Valdemarín,2,es,flat,true,3,false,Madrid,Valdemarín,false,750000.0,5034.0,101217596,flat,Madrid,2,149.0,good,1540750.6917562725,low,2024-09-17
Moncloa,calle Cabellera de Berenice y Cerro de San Pedro  s/n,6,es,chalet,,,,Madrid,Valdemarín,true,4300000.0,6324.0,101220013,chalet,Madrid,6,680.0,newdevelopment,1540750.6917562725,high,2024-09-17
Moncloa,calle de Ilustración,2,es,flat,true,0,false,Madrid,Argüelles,false,375000.0,6250.0,101231665,flat,Madrid,2,60.0,good,1540750.6917562725,low,2024-09-17
Barrio de Salamanca,calle del Conde de Peñalver,2,es,flat,true,2,true,Madrid,Lista,false,715000.0,9662.0,101245302,flat,Madrid,2,74.0,good,1569158.038243626,low,2024-09-17
Centro,calle de la Madera,1,es,flat,true,0,true,Madrid,Malasaña-Universidad,false,280500.0,4125.0,101259331,flat,Madrid,1,68.0,good,769398.6464032421,low,2024-09-17
Centro Urbano,calle Hermanos del Cristo,2,es,flat,true,0,false,San Sebastián de los Reyes,,false,199000.0,3373.0,101259950,flat,Madrid,2,59.0,good,261378.26086956522,low,2024-09-17
Villaverde,calle de la Fuente,1,es,flat,true,2,true,Madrid,Villaverde Alto,false,97000.0,1732.0,101263161,duplex,Madrid,2,56.0,renew,198885.3076923077,low,2024-09-17
Barrio de Salamanca,calle de Castelló,3,es,flat,true,2,true,Madrid,Castellana,false,2150000.0,11316.0,101290617,flat,Madrid,4,190.0,good,1569158.038243626,high,2024-09-17
Carabanchel,calle de José María Pemán,1,es,flat,true,3,true,Madrid,San Isidro,false,279000.0,2937.0,101309964,penthouse,Madrid,3,95.0,good,277698.3312883436,medium,2024-09-17
San Nicasio - Campo de Tiro - Solagua,"avenida Vicente Ferrer, 8",2,es,flat,true,3,true,Leganés,Poza del Agua,true,368495.0,3444.0,101321479,flat,Madrid,3,107.0,newdevelopment,360424.4,medium,2024-09-17
Zona Monte el Pilar,calle Rosales,8,es,chalet,,,,Majadahonda,,false,1500000.0,2595.0,101349802,chalet,Madrid,5,578.0,good,1290047.0588235294,high,2024-09-17
Chamartín,calle de Zabaleta,1,es,flat,true,5,true,Madrid,Prosperidad,false,500000.0,6250.0,101354543,penthouse,Madrid,1,80.0,good,1658541.416,low,2024-09-17
Calle Pinto-San Roque,"calle Calderillo, 28",2,es,flat,true,1,true,Parla,,true,235000.0,2282.0,101354917,flat,Madrid,3,103.0,newdevelopment,165582.33333333334,high,2024-09-17
Calle Pinto-San Roque,"calle Calderillo, 28",2,es,flat,true,2,true,Parla,,true,219000.0,2517.0,101354939,flat,Madrid,3,87.0,newdevelopment,165582.33333333334,high,2024-09-17
Los Satélites - Roza Martín,"calle Perseo, 26",6,es,chalet,,,,Majadahonda,,true,1089000.0,2656.0,101357216,chalet,Madrid,4,410.0,newdevelopment,1273076.0,low,2024-09-17
Centro,barrio Malasaña-Universidad,3,es,flat,true,3,true,Madrid,Malasaña-Universidad,false,839000.0,7627.0,101357610,flat,Madrid,3,110.0,good,769398.6464032421,medium,2024-09-17
Tetuán,paseo de la Castellana,3,es,flat,true,1,true,Madrid,Cuzco-Castillejos,false,1449000.0,7790.0,101359740,flat,Madrid,3,186.0,good,568637.182572614,high,2024-09-17
Centro,barrio Chueca-Justicia,3,es,flat,true,1,true,Madrid,Chueca-Justicia,false,789000.0,7890.0,101386839,flat,Madrid,3,100.0,good,769398.6464032421,medium,2024-09-17
Sur,calle Geminis s/n,3,es,chalet,,,,Móstoles,,true,490000.0,3289.0,101391314,chalet,Madrid,3,149.0,newdevelopment,456946.75,medium,2024-09-17
Hortaleza,barrio Conde Orgaz-Piovera,9,es,chalet,,,,Madrid,Conde Orgaz-Piovera,false,6800000.0,7789.0,101403584,chalet,Madrid,11,873.0,good,1239664.2406015038,high,2024-09-17
Hortaleza,barrio Conde Orgaz-Piovera,6,es,chalet,,,,Madrid,Conde Orgaz-Piovera,false,6800000.0,7556.0,101433504,chalet,Madrid,8,900.0,good,1239664.2406015038,high,2024-09-17
San Blas,calle Septiembre,1,es,chalet,,,,Madrid,Rejas,false,336000.0,4308.0,101433926,chalet,Madrid,5,78.0,renew,493332.02898550726,low,2024-09-17
San Nicasio - Campo de Tiro - Solagua,"Río Jarama, 4",1,es,flat,true,3,false,Leganés,San Nicasio,false,155000.0,2500.0,101436733,flat,Madrid,3,62.0,good,360424.4,low,2024-09-17
Barrio de Salamanca,calle del Duque de Sesto,3,es,flat,true,2,true,Madrid,Goya,false,1390000.0,9720.0,101447594,flat,Madrid,3,143.0,good,1569158.038243626,low,2024-09-17
Centro,"calle Pinto, 11",1,es,flat,true,4,true,Fuenlabrada,,true,315000.0,2813.0,101454300,penthouse,Madrid,2,112.0,newdevelopment,769398.6464032421,low,2024-09-17
Centro,"calle Pinto, 11",2,es,flat,true,0,true,Fuenlabrada,,true,250000.0,2551.0,101454309,flat,Madrid,2,98.0,newdevelopment,769398.6464032421,low,2024-09-17
El Bosque,calle Nalón,4,es,chalet,,,,Villaviciosa de Odón,,false,1290000.0,2529.0,101466794,chalet,Madrid,5,510.0,good,877710.8823529412,high,2024-09-17
Golf - El Carralero,"calle bergantin, 2",5,es,chalet,,,,Majadahonda,,false,789900.0,2416.0,101467302,chalet,Madrid,5,327.0,good,728655.5555555555,medium,2024-09-17
Norte - Universidad,Norte - Universidad,2,es,chalet,,,,Móstoles,,false,313000.0,2653.0,101468179,chalet,Madrid,3,118.0,good,355984.5238095238,low,2024-09-17
Centro,calle de Atocha,2,es,flat,true,3,true,Madrid,Lavapiés-Embajadores,false,960000.0,4706.0,101473635,flat,Madrid,5,204.0,good,769398.6464032421,high,2024-09-17
Fuencarral,barrio Fuentelarreina,2,es,chalet,,,,Madrid,Fuentelarreina,false,2900000.0,3930.0,101474886,chalet,Madrid,7,738.0,good,1052016.2767857143,high,2024-09-17
Ensanche,"avenida de Madrid, 1",2,es,flat,true,3,true,Alcobendas,,true,315000.0,4437.0,101478097,flat,Madrid,2,71.0,newdevelopment,299000.0,medium,2024-09-17
Ensanche,"avenida de Madrid, 1",2,es,flat,true,3,true,Alcobendas,,true,335000.0,5403.0,101478108,flat,Madrid,2,62.0,newdevelopment,299000.0,high,2024-09-17
Fuencarral,barrio Tres Olivos - Valverde,5,es,chalet,,,,Madrid,Tres Olivos - Valverde,false,1975000.0,2782.0,101480949,chalet,Madrid,7,710.0,good,1052016.2767857143,high,2024-09-17
Urbanizaciones,calle SALIENTE,6,es,chalet,,,,Pozuelo de Alarcón,Montealina,false,2700000.0,2455.0,101495088,chalet,Madrid,6,1100.0,good,2186191.1764705884,high,2024-09-17
Barrio de Salamanca,barrio Fuente del Berro,1,es,flat,true,9,true,Madrid,Fuente del Berro,false,1200000.0,7643.0,101499618,penthouse,Madrid,1,157.0,good,1569158.038243626,low,2024-09-17
Vicálvaro,"Poligono UZP0204 Los Berrocales, 71",2,es,flat,true,0,true,Madrid,Los Berrocales,true,383500.0,3618.0,101510785,flat,Madrid,3,106.0,newdevelopment,376080.66346153844,medium,2024-09-17
Centro,"calle  Cristo, 1",2,es,flat,true,1,true,Madrid,Malasaña-Universidad,true,900000.0,7692.0,101516068,flat,Madrid,2,117.0,newdevelopment,769398.6464032421,high,2024-09-17
Centro,"calle  Cristo, 1",2,es,flat,true,2,true,Madrid,Malasaña-Universidad,true,950000.0,8716.0,101516069,flat,Madrid,2,109.0,newdevelopment,769398.6464032421,high,2024-09-17
Moncloa,barrio Ciudad Universitaria,7,es,chalet,,,,Madrid,Ciudad Universitaria,false,2250000.0,4412.0,101519606,chalet,Madrid,6,510.0,renew,1540750.6917562725,high,2024-09-17
Centro,barrio Sol,2,es,flat,true,4,false,Madrid,Sol,false,789000.0,9393.0,101520045,flat,Madrid,2,84.0,good,769398.6464032421,medium,2024-09-17
Centro,Carrera de San Jerónimo,2,es,flat,true,4,false,Madrid,Sol,false,789000.0,7812.0,101526157,flat,Madrid,2,101.0,good,769398.6464032421,medium,2024-09-17
Moncloa,barrio Argüelles,3,es,flat,true,3,true,Madrid,Argüelles,false,1890000.0,5981.0,101539053,flat,Madrid,4,316.0,good,1540750.6917562725,high,2024-09-17
Centro,Carrera de San Jerónimo,2,es,flat,true,4,true,Madrid,Sol,false,789000.0,9393.0,101540033,flat,Madrid,2,84.0,good,769398.6464032421,medium,2024-09-17
Chamartín,calle de Cochabamba,3,es,flat,true,1,true,Madrid,Bernabéu-Hispanoamérica,false,780000.0,5693.0,101546808,flat,Madrid,3,137.0,good,1658541.416,low,2024-09-17
Golf - El Carralero,Golf - El Carralero,3,es,flat,true,,true,Majadahonda,,false,775000.0,3229.0,101547640,penthouse,Madrid,4,240.0,good,728655.5555555555,medium,2024-09-17
Encinar de los Reyes,calle de Luis Martinez Feduchi,4,es,flat,true,4,true,La Moraleja,,false,1160000.0,4833.0,101563648,duplex,Madrid,3,240.0,good,1413482.142857143,low,2024-09-17
Puente de Vallecas,"calle Angelillo, 11",1,es,flat,true,1,true,Madrid,Palomeras sureste,false,127000.0,1512.0,101566793,flat,Madrid,3,84.0,good,213998.1403508772,low,2024-09-17
Chamartín,calle de Rafael Salgado,3,es,flat,true,4,true,Madrid,Bernabéu-Hispanoamérica,false,1160000.0,5743.0,101576250,flat,Madrid,5,202.0,good,1658541.416,low,2024-09-17
Chamartín,barrio El Viso,4,es,flat,true,6,true,Madrid,El Viso,false,1900000.0,8261.0,101576992,flat,Madrid,4,230.0,good,1658541.416,high,2024-09-17
Barrio de Salamanca,calle de Villalar,4,es,flat,false,5,true,Madrid,Recoletos,false,2490000.0,12450.0,101581822,penthouse,Madrid,4,200.0,good,1569158.038243626,high,2024-09-17
